,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PTPN2,1986.54176056281,0.87144015597666,0.120672305834216,7.22154225820359,5.14012430227989e-13,4.86741918535597e-11
AKR1C1,1593.23602506035,-1.12070203617632,0.155205612828165,-7.22075713471199,5.16989130358282e-13,4.87160884944963e-11
SH3KBP1,2666.67670048855,0.779050266590332,0.107905545708465,7.21974261355516,5.20860640189219e-13,4.88414833480847e-11
SKI,2987.55222221455,-0.932937433841407,0.129363953258683,-7.21172637617107,5.52469058841686e-13,5.15539452335618e-11
CEP128,1760.58155394497,1.16041910559714,0.161131020853888,7.20171137405873,5.94614576435688e-13,5.52187246513199e-11
BMP2K,5445.59903878874,0.926322164417805,0.128638515425036,7.20097057523662,5.97854497037806e-13,5.52526778680661e-11
LYZ,10948.139282507,2.57732631970135,0.358145482641265,7.19631112109521,6.18633832573399e-13,5.68995127442988e-11
DBN1,1939.23872258363,-0.752695792964336,0.104614444891718,-7.1949508860217,6.24832525435633e-13,5.71959792211866e-11
OSR1,1085.48732641404,-1.57939748277489,0.219572078327203,-7.19307069827564,6.33501176890087e-13,5.77146593524083e-11
ALDH2,2731.03151253893,-0.766344128708984,0.106558659045451,-7.19175837584548,6.39621521368041e-13,5.79973797417823e-11
LAMC3,160.39726321429,-2.65855678864525,0.370210676768588,-7.18119966676992,6.9102344902682e-13,6.23640552142843e-11
KIAA1551,9657.06781860134,0.772673932897984,0.107621064953717,7.17957895352808,6.9926432214379e-13,6.26409856767938e-11
LPAR6,2534.46088989766,0.938869820990403,0.130777477594198,7.17914000378347,7.01512811419643e-13,6.26409856767938e-11
PEF1,533.741804321657,-0.795708449286851,0.110843255124741,-7.17868171943685,7.03867913758907e-13,6.26409856767938e-11
TLR1,1952.22801716423,1.15331892203109,0.16074280011641,7.17493362810561,7.23422734975744e-13,6.40845863338190e-11
ADCY5,2112.51965600316,-1.13729210993873,0.15856156655707,-7.17255848711228,7.36089506845119e-13,6.49075623398336e-11
CNTRL,4741.88923881256,0.589460756306747,0.0822163637917231,7.16962815091184,7.52017454335465e-13,6.60092763684504e-11
GPX4,1776.63625385877,-0.511956115341388,0.0714456917875263,-7.16566811143637,7.74081001705902e-13,6.75205953882903e-11
ABCA3,2226.46615176434,-0.912406672554436,0.127337143991855,-7.16528299561045,7.76260291359941e-13,6.75205953882903e-11
SERPINB9,402.585021420565,0.91651972105592,0.127926021535189,7.16445106364703,7.80988596526165e-13,6.76258729325336e-11
IL32,502.431976409728,1.26098022784418,0.176054580009363,7.16243921502705,7.9254014075421e-13,6.8115241497544e-11
DAPK1,2490.62780059837,0.998946498933034,0.139474147198485,7.16223414158207,7.93726998670856e-13,6.8115241497544e-11
SFMBT2,871.863077897198,1.4079247757685,0.196864460760266,7.15174679234263,8.56805079031761e-13,7.31440750357479e-11
LYNX1,298.491519151362,-1.36995745246196,0.191580023209935,-7.15083665566083,8.62505752624432e-13,7.31440750357479e-11
CRLF3,1504.8888490201,0.603940625472598,0.084459658854056,7.15064012413537,8.63741613333755e-13,7.31440750357479e-11
TES,3631.95528572866,-0.882242312862014,0.123431520738683,-7.14762572463001,8.82916445440567e-13,7.44399246960703e-11
