,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NBPF18P,5.35420909392255,3.91038658692397,1.34988218581019,2.89683546314598,0.0037694739541022,0.999306081618454
C7orf34,2.61304674936578,5.21948844453377,1.80544069238556,2.89097751399253,0.0038404559777536,0.999306081618454
GPAT2,77.7730667896807,-0.82442874170185,0.285548892314632,-2.88717191307979,0.00388721774432566,0.999306081618454
RFTN1,6209.64713277694,-0.320417405472364,0.111019204766318,-2.88614394371501,0.00389993745252321,0.999306081618454
SNORA70G,59.8786469925392,-0.800155885559863,0.277304922314226,-2.88547307015766,0.00390825896557519,0.999306081618454
ZNF781,125.791437214867,-0.617268909854071,0.214139324320804,-2.88255747426071,0.0039446116734705,0.999306081618454
NT5DC3,1695.66632758131,-0.517838361536274,0.179769737299467,-2.88056471192167,0.00396963453215381,0.999306081618454
SAYSD1,136.765744106743,-0.696655020313576,0.242182898304788,-2.87656570794207,0.0040202848381687,0.999306081618454
GRINA,631.644052920407,0.449247557923348,0.156182604038987,2.87642507107388,0.00402207673896863,0.999306081618454
MLXIPL,69.3075190346559,-0.938286579219376,0.326379674764313,-2.87483152833256,0.00404243130604887,0.999306081618454
ADAMTS4,279.628926511273,-1.14263033651069,0.39807061999158,-2.87042117435056,0.00409925388030605,0.999306081618454
NEDD9,3981.04881124057,-0.525142976144089,0.183337285554504,-2.86435448499083,0.00417860095373272,0.999306081618454
IFI35,258.537820257766,0.456005118867225,0.159381616842455,2.8610898038384,0.00422187444278,0.999306081618454
ZNF253,1740.35457182353,-0.386218684795982,0.135181936808626,-2.85702878590018,0.00427627054474676,0.999306081618454
SCN9A,1531.82462262072,-0.449323469991001,0.157277067277346,-2.85689120333516,0.00427812450245788,0.999306081618454
IRF9,926.892862584409,0.297612705951585,0.105001570459248,2.83436433045629,0.00459169501130546,0.999306081618454
CSMD1,44.8675918388905,-1.23457225839688,0.436255931966901,-2.82992658192794,0.00465586867506217,0.999306081618454
CHFR,1064.65846656875,0.289537479280526,0.102346215239876,2.82900035533232,0.00466936471151208,0.999306081618454
ASIC4,5.03490689093753,-2.98865748065611,1.06584896574708,-2.80401593162057,0.00504704111232354,0.999306081618454
MAPK14,1928.94503833259,0.186172483259917,0.0664146639194968,2.8031833976542,0.00506008862253484,0.999306081618454
RGS22,221.088195354793,-0.417697523453363,0.149079720425979,-2.80183999714943,0.00508120676755089,0.999306081618454
RASGEF1C,12.2294518131276,-2.36233129162853,0.843309068795228,-2.8012639482265,0.00509028658971471,0.999306081618454
AP4S1,294.749893168698,-0.456032844384515,0.162887442656828,-2.79968079151004,0.00511531627844226,0.999306081618454
NUB1,3440.81761929685,0.275959877300306,0.0987313686132062,2.79505775293581,0.00518904443512175,0.999306081618454
ZBTB21,1219.05502329315,-0.360536991860619,0.129057390177752,-2.79361756319455,0.00521220793852333,0.999306081618454
RGL3,348.934159985308,-0.573118312040687,0.205214293566286,-2.79277969424466,0.00522572687305202,0.999306081618454
MRPL38,196.533639260043,-0.424111053654911,0.152292510099428,-2.78484512060389,0.00535532962323383,0.999306081618454
HPSE2,322.987523374524,2.01077357970217,0.723259189137855,2.78015628408271,0.00543327431525451,0.999306081618454
TMEM184A,55.9526802888419,-1.41063566550402,0.508087695579636,-2.77636258027217,0.00549708674658065,0.999306081618454
CACNB3,514.005414948613,-0.427901710223755,0.154163366023821,-2.77563808614321,0.00550934983154411,0.999306081618454
NTRK3,4127.33678440488,-0.525172542896829,0.189282160915973,-2.77454853830608,0.00552783845498669,0.999306081618454
IFIT1,875.948069600989,0.657149280365424,0.237432282062513,2.76773349713416,0.00564475936089903,0.999306081618454
FGFR2,458.125937576294,-0.598498375032137,0.216260802707982,-2.76748429460096,0.00564907672526908,0.999306081618454
TMEM42,130.382559079841,-0.839778287664705,0.303630800244321,-2.7657875518194,0.00567855159306366,0.999306081618454
PSMD7,1794.70351293058,0.256308164922606,0.0927921496641269,2.76217509617297,0.00574176768780911,0.999306081618454
IFI16,8351.98697947282,0.276096983734414,0.0999595249830575,2.76208779284626,0.00574330327395138,0.999306081618454
PSMA6,2137.38315562056,0.28999084427392,0.105064798797327,2.76011421135752,0.00577811573978195,0.999306081618454
TTN-AS1,7.28842291906611,-2.21463292583175,0.802668389132869,-2.75908825589138,0.00579628786925342,0.999306081618454
GREB1,90.1870587824063,-0.867160239333506,0.314792038385425,-2.75470829497845,0.00587444841203025,0.999306081618454
MYRIP,242.209627257095,-0.526743304501135,0.191590217312066,-2.74932254835937,0.00597185885083443,0.999306081618454
SDK1,1378.95517547571,-0.485084436282967,0.176482209106321,-2.7486308038604,0.00598447514367836,0.999306081618454
SIAH3,2.69688432420763,-3.89056510308381,1.41966967321704,-2.74047208057041,0.00613509940982367,0.999306081618454
TEPP,5.62047262646672,-4.18639521069634,1.53188721213603,-2.73283514447445,0.00627917522951484,0.999306081618454
NPHP4,431.970994922648,-0.486844034389565,0.178341080776897,-2.72984795353238,0.0063363542159672,0.999306081618454
PTCH1,999.588506252619,-0.483174520258151,0.177037802284123,-2.72921666460092,0.00634849777724847,0.999306081618454
PRR19,1.76385328253591,3.62689774350287,1.33151011070965,2.72389801198719,0.00645164260070988,0.999306081618454
LAMP3,186.353960333095,1.05400151452068,0.387004841770579,2.72348405177191,0.00645973343737567,0.999306081618454
B2M,60267.8526491903,0.439736439432596,0.16159458549727,2.72123250961292,0.00650389979509782,0.999306081618454
SMG1P2,1412.97992763756,-0.407169948724406,0.149804192152818,-2.7180143817941,0.00656749834125881,0.999306081618454
ZNF445,2450.56930382589,-0.206181323896994,0.0758614879632004,-2.7178655393236,0.00657045334034119,0.999306081618454
GALNT15,419.819593344729,-0.888000831166965,0.326831815745076,-2.7169962910208,0.00658773459342876,0.999306081618454
CD82,580.864562348905,0.425952900896992,0.156791416473157,2.71668507421078,0.00659393172684785,0.999306081618454
